Question,Option1,Option2,Option3,Option4,Correct
The sum of two numbers is 50 and their difference is 6. Find the numbers.,"28,22","26,24","23,27","30,20","26,24"
A train 120 meters long passes a pole in 12 seconds. Find the speed of the train.,10 m/s,12 m/s,15 m/s,20 m/s,10 m/s
"If 3 workers can complete a task in 12 days, how many workers are required to complete it in 6 days?",3,4,6,9,6
"A sum of ₹10,000 amounts to ₹12,100 in 2 years at simple interest. What is the rate of interest?",10%,12%,15%,20%,10%
"If the ratio of ages of A and B is 5:7 and A is 25 years old, what is B’s age?",30,35,40,45,35
A shopkeeper buys an article for ₹500 and sells it for ₹650. Find the profit percentage.,20%,25%,30%,32%,30%
Solve: (3/5) ÷ (9/10).,3-Feb,2-Mar,6-May,5-Jun,3-Feb
A student scores 240 marks out of 300. Find the percentage.,70%,75%,80%,85%,80%
"If the perimeter of a square is 48 cm, what is its area?",64 cm²,144 cm²,196 cm²,256 cm²,144 cm²
"A person spends 40% of his income on rent, 20% on food and saves ₹6,000. If his income is ₹25,000, how much does he spend on food?","₹4,000","₹5,000","₹6,000","₹7,000","₹5,000"
